Name,Latitude,Longitude,Place
Robert E Lee,38.151944,-76.8395,"Stratford, VA"
JEB Stuart,36.563333,-80.554444,Laurel Hill Farm
James Longstreet,33.832778,-81.801111,"Edgefield District, SC"
Stonewall Jackson,39.283333,-80.35,"Clarksburg, VA"
Braxton Bragg,36.400278,-78.156944,"Warrenton, NC"
Jefferson Davis,36.843333,-87.303889,"Fairview, KY"
PGT Beauregard,29.89,-89.35,"St Bernard Parish, LA"
John Bell Hood,38.142778,-83.766111,"Owingsville, KY"
George Pickett,37.533333,-77.466667,"Richmond, VA"
Simon Bolivar Buckner,37.276667,-85.897778,"Munfordville, KY"
Nathan Bedford Forrest,35.628154,-86.696203,"Chapel Hill, TN"
Richard S. Ewell,38.909444,-77.065,"Georgetown, D.C."